date,rq,rows,changed_vs_previous_day,new_rows
2026-07-24,rq2,496,0,0
2026-07-24,rq7,496,0,0
2026-07-24,rq9,547,0,0
2026-07-24,rq11,547,0,0
2026-07-25,rq2,496,0,0
2026-07-25,rq7,496,0,0
2026-07-25,rq9,547,0,0
2026-07-25,rq11,547,0,0
2026-07-26,rq2,496,0,0
2026-07-26,rq7,496,0,0
2026-07-26,rq9,547,0,0
2026-07-26,rq11,547,0,0
2026-07-27,rq2,496,0,0
2026-07-27,rq7,496,0,0
2026-07-27,rq9,547,0,0
2026-07-27,rq11,547,0,0
2026-07-28,rq2,496,0,0
2026-07-28,rq7,496,0,0
2026-07-28,rq9,547,0,0
2026-07-28,rq11,547,0,0
2026-07-29,rq2,496,0,0
2026-07-29,rq7,496,0,0
2026-07-29,rq9,547,0,0
2026-07-29,rq11,547,0,0
2026-07-30,rq2,496,0,0
2026-07-30,rq7,496,0,0
2026-07-30,rq9,547,0,0
2026-07-30,rq11,547,0,0
2026-07-31,rq2,496,0,0
2026-07-31,rq7,496,0,0
2026-07-31,rq9,547,0,0
2026-07-31,rq11,547,0,0
2026-08-01,rq2,496,0,0
2026-08-01,rq7,496,0,0
2026-08-01,rq9,547,0,0
2026-08-01,rq11,547,0,0
2026-08-02,rq2,496,0,0
2026-08-02,rq7,496,0,0
2026-08-02,rq9,547,0,0
2026-08-02,rq11,547,0,0
2026-08-03,rq2,496,0,0
2026-08-03,rq7,496,0,0
2026-08-03,rq9,547,0,0
2026-08-03,rq11,547,0,0
2026-08-04,rq2,496,0,0
2026-08-04,rq7,496,0,0
2026-08-04,rq9,547,0,0
2026-08-04,rq11,547,0,0
2026-08-05,rq2,496,0,0
2026-08-05,rq7,496,0,0
2026-08-05,rq9,547,0,0
2026-08-05,rq11,547,0,0
2026-08-06,rq2,496,0,0
2026-08-06,rq7,496,0,0
2026-08-06,rq9,547,0,0
2026-08-06,rq11,547,0,0
2026-08-07,rq2,496,0,0
2026-08-07,rq7,496,0,0
2026-08-07,rq9,547,0,0
2026-08-07,rq11,547,0,0
2026-08-08,rq2,496,0,0
2026-08-08,rq7,496,0,0
2026-08-08,rq9,547,0,0
2026-08-08,rq11,547,0,0
2026-08-09,rq2,496,0,0
2026-08-09,rq7,496,0,0
2026-08-09,rq9,547,0,0
2026-08-09,rq11,547,0,0
2026-08-10,rq2,496,0,0
2026-08-10,rq7,496,0,0
2026-08-10,rq9,547,0,0
2026-08-10,rq11,547,0,0
2026-08-11,rq2,496,0,0
2026-08-11,rq7,496,0,0
2026-08-11,rq9,547,0,0
2026-08-11,rq11,547,0,0
2026-08-12,rq2,496,0,0
2026-08-12,rq7,496,0,0
2026-08-12,rq9,547,0,0
2026-08-12,rq11,547,0,0
2026-08-13,rq2,496,0,0
2026-08-13,rq7,496,0,0
2026-08-13,rq9,547,0,0
2026-08-13,rq11,547,0,0
2026-08-14,rq2,496,0,0
2026-08-14,rq7,496,0,0
2026-08-14,rq9,547,0,0
2026-08-14,rq11,547,0,0
2026-08-15,rq2,496,0,0
2026-08-15,rq7,496,0,0
2026-08-15,rq9,547,0,0
2026-08-15,rq11,547,0,0
2026-08-16,rq2,496,0,0
2026-08-16,rq7,496,0,0
2026-08-16,rq9,547,0,0
2026-08-16,rq11,547,0,0
2026-08-17,rq2,497,78,1
2026-08-17,rq7,497,69,1
2026-08-17,rq9,550,35,7
2026-08-17,rq11,550,53,7
2026-08-18,rq2,497,9,0
2026-08-18,rq7,497,3,0
2026-08-18,rq9,550,6,0
2026-08-18,rq11,550,1,0
2026-08-19,rq2,497,1,0
2026-08-19,rq7,497,3,0
2026-08-19,rq9,550,2,0
2026-08-19,rq11,550,0,0
2026-08-20,rq2,497,6,0
2026-08-20,rq7,497,0,0
2026-08-20,rq9,550,0,0
2026-08-20,rq11,550,1,0
2026-08-21,rq2,497,3,0
2026-08-21,rq7,497,3,0
2026-08-21,rq9,550,1,0
2026-08-21,rq11,550,1,0
2026-08-22,rq2,497,0,0
2026-08-22,rq7,497,0,0
2026-08-22,rq9,550,0,0
2026-08-22,rq11,550,0,0
2026-08-23,rq2,497,0,0
2026-08-23,rq7,497,0,0
2026-08-23,rq9,550,1,0
2026-08-23,rq11,550,0,0
2026-08-24,rq2,497,1,0
2026-08-24,rq7,497,0,0
2026-08-24,rq9,550,0,0
2026-08-24,rq11,550,1,0
2026-08-25,rq2,529,2,32
2026-08-25,rq7,529,9,32
2026-08-25,rq9,584,2,34
2026-08-25,rq11,584,0,34
