repo,web_property,items,issues,prs,open,bug,feature,deps,chore,ci,testing,docs,security,uncategorised,platform-cos,platform-tls,platform-terraform,platform-airgap,platform-backup,platform-arm64
battlemidget/charm-layer-ghost,0,9,4,5,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0
battlemidget/juju-charm-dokuwiki.rb,1,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
benhoyt/snappass-test,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
benhoyt/test-charms,0,4,0,4,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0
canonical/CI-testing-grafana-agent-fork,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/admission-webhook-operator,0,269,40,229,11,45,59,94,104,46,13,3,0,29,0,2,16,1,0,0
canonical/airbyte-k8s-operator,0,63,4,59,8,8,22,13,1,6,7,10,1,11,1,0,1,0,0,1
canonical/airflow-coordinator-k8s-operator,0,71,17,54,15,12,34,7,3,5,6,1,2,14,0,3,4,0,0,0
canonical/airflow-kubernetes-executor-k8s-operator,0,25,3,22,12,4,6,12,13,2,2,0,1,2,0,0,2,0,0,0
canonical/alertmanager-k8s-operator,0,459,84,375,12,78,102,27,121,19,25,21,1,124,59,14,8,1,1,0
canonical/alertmanager-with-configurer-k8s-operator,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/anbox-cloud.io,1,379,63,316,11,30,40,164,64,6,5,29,9,125,0,1,0,0,0,0
canonical/any-charm,0,107,1,106,1,5,24,65,51,4,1,0,1,14,1,1,0,0,0,3
canonical/app-center-ratings-k8s-operator,0,23,1,22,1,1,0,18,19,0,1,0,0,2,0,0,0,0,0,0
canonical/apr-operator,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
canonical/aproxy-operator,0,118,11,107,6,17,32,42,53,12,8,11,2,9,0,0,3,2,1,1
canonical/archive-auth-mirror,0,67,12,55,5,1,21,2,0,0,1,0,0,43,0,0,0,0,0,0
canonical/argo-operators,0,346,52,294,14,63,91,95,97,72,38,6,1,36,17,1,15,1,0,0
canonical/assets.ubuntu.com,1,325,79,246,32,29,64,84,22,13,15,10,26,129,0,0,0,1,0,0
canonical/auditd-operator,0,39,7,32,10,3,10,12,0,2,1,1,1,13,1,0,0,0,0,0
canonical/authentik-ldap-outpost-operator,0,74,3,71,4,16,11,14,43,9,1,0,3,4,2,0,6,0,0,1
canonical/authentik-server-operator,0,94,9,85,6,18,21,14,39,8,5,7,1,11,2,0,10,0,0,1
canonical/authentik-worker-operator,0,56,3,53,2,10,9,11,33,6,1,2,0,3,2,0,5,0,0,0
canonical/avalanche-k8s-operator,0,96,4,92,0,7,30,6,28,10,2,2,2,26,5,0,1,0,0,0
canonical/azure-auth-integrator,0,55,12,43,9,2,16,25,0,4,5,3,1,9,0,0,0,0,0,0
canonical/backup-operators,0,69,1,68,8,7,7,22,21,5,4,13,1,17,0,0,2,0,2,0
canonical/basic-auth-service-charm,0,11,2,9,1,1,1,1,0,0,0,0,0,9,0,0,0,0,0,0
canonical/blackbox-exporter-k8s-operator,0,125,22,103,2,30,31,7,42,8,1,7,2,21,8,4,3,0,0,0
canonical/blackbox-exporter-operator,0,42,2,40,2,9,16,10,16,5,2,3,0,0,2,0,0,0,0,0
canonical/bundle-kubeflow,0,2847,1847,1000,374,699,1252,172,56,300,326,226,60,612,46,20,30,136,12,4
canonical/canonical-cla-ui,0,7,0,7,1,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0
canonical/canonical.com,1,2842,712,2130,88,374,561,265,177,47,55,150,40,1435,4,1,1,2,5,0
canonical/canonicalwebteam.juju-logger,1,2,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
canonical/cassandra-operator,0,76,3,73,17,14,20,14,1,12,21,4,0,14,3,3,0,0,5,0
canonical/catalogue-k8s-operator,0,252,55,197,3,34,47,10,104,18,8,7,1,52,8,11,5,0,0,0
canonical/ceph-charms,0,234,7,227,21,66,55,24,0,16,69,3,9,50,4,0,9,16,0,0
canonical/certbot-charm,0,40,3,37,3,3,5,26,0,2,2,2,0,4,0,2,0,0,0,0
canonical/certbot-k8s-operator,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/certificate-transfer-interface,0,238,11,227,5,35,27,141,159,18,8,2,0,15,0,10,0,0,0,0
canonical/certification-errbot,0,25,0,25,6,2,6,7,0,0,3,0,0,7,0,0,2,2,0,0
canonical/charm-advanced-routing,0,100,36,64,12,9,17,3,3,6,5,2,0,62,0,0,0,2,0,1
canonical/charm-apt-mirror,0,73,5,68,1,10,10,5,1,10,7,0,1,41,0,0,0,0,2,0
canonical/charm-ceph-nvme,0,9,1,8,1,1,0,1,0,0,4,0,0,4,0,0,0,0,0,0
canonical/charm-juju-backup-all,0,110,39,71,4,16,13,8,4,4,9,5,1,53,0,1,0,0,24,0
canonical/charm-lldpd,0,45,13,32,1,5,12,5,5,4,3,0,0,20,0,0,0,0,0,0
canonical/charm-local-juju-users,0,41,18,23,9,17,11,2,0,5,4,0,0,9,1,0,0,0,0,0
canonical/charm-local-users,0,95,14,81,3,5,13,3,1,9,3,2,0,69,0,0,0,0,0,5
canonical/charm-logrotated,0,81,40,41,2,7,11,3,2,5,2,2,0,58,0,0,0,0,0,0
canonical/charm-lxd,0,248,25,223,3,15,55,45,2,14,5,7,4,112,11,1,0,2,0,3
canonical/charm-microceph,0,347,80,267,41,101,97,30,20,21,40,21,1,87,9,1,5,3,0,1
canonical/charm-microk8s,0,141,30,111,13,14,29,34,1,2,17,4,1,48,4,1,0,5,0,0
canonical/charm-mssql,0,6,0,6,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0
canonical/charm-mssql-infra,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/charm-neutron-operator,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canonical/charm-nginx,0,57,3,54,0,3,8,2,1,5,2,2,0,40,0,2,0,0,0,0
canonical/charm-nrpe,0,253,180,73,0,23,33,5,1,12,5,3,2,175,4,1,0,0,0,2
canonical/charm-openstack-service-checks,0,220,171,49,1,24,38,5,3,8,20,5,0,126,6,9,0,3,0,2
canonical/charm-ovn-central,0,20,0,20,0,1,4,3,0,7,2,0,0,4,6,0,0,0,0,0
canonical/charm-ovn-chassis,0,32,0,32,0,1,6,12,0,6,6,0,0,6,4,0,0,0,0,0
canonical/charm-ovn-dedicated-chassis,0,16,0,16,0,2,5,3,0,6,1,0,0,1,4,0,0,0,0,0
canonical/charm-prometheus-blackbox-exporter,0,45,6,39,1,2,6,3,3,4,2,1,0,32,1,0,0,0,0,0
canonical/charm-prometheus-libvirt-exporter,0,85,34,51,1,6,13,2,2,6,5,2,0,52,8,0,0,1,0,2
canonical/charm-rabbitmq-k8s,0,25,0,25,6,4,7,8,2,2,1,1,1,4,1,0,0,0,0,0
canonical/charm-rolling-ops,0,223,10,213,7,12,7,114,0,10,7,0,2,82,0,0,0,0,0,0
canonical/charm-simple-streams,0,43,2,41,0,6,9,3,1,9,6,1,0,21,0,0,0,1,0,0
canonical/charm-sysconfig,0,115,50,65,2,14,13,5,2,11,3,3,0,82,0,0,0,0,0,1
canonical/charm-ubuntu,0,105,23,82,2,11,25,33,9,24,10,5,3,21,0,0,0,0,1,1
canonical/charm-userdir-ldap,0,93,23,70,1,5,9,2,2,6,3,1,0,71,0,0,0,0,0,1
canonical/charmcraft-profile-tools,0,76,0,76,0,2,4,53,0,11,13,1,0,8,0,0,0,0,0,0
canonical/charmed-5g-upf-interface,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
canonical/charmed-canonical-cla,0,8,0,8,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0
canonical/charmed-etcd-benchmark-operator,0,11,1,10,6,0,5,5,1,0,1,0,0,1,1,0,0,0,0,0
canonical/charmed-etcd-operator,0,249,20,229,5,45,67,25,23,12,41,38,4,54,3,27,1,0,11,2
canonical/charmed-gh-jira-sync-bot,0,14,0,14,0,0,6,5,0,1,0,0,0,3,0,0,0,1,0,0
canonical/charmed-nodejs-boilerplate,0,31,2,29,8,1,3,21,1,1,0,1,3,5,0,0,0,0,1,1
canonical/charmed-openstack-cinder-backends,0,17,1,16,2,0,6,2,0,2,1,0,0,7,0,0,0,0,0,0
canonical/charmhub-solutions-service,0,57,0,57,2,3,20,14,3,1,1,0,2,15,0,0,0,0,0,0
canonical/charmhub.io,1,2378,654,1724,24,313,420,323,239,21,102,118,37,1128,6,2,1,1,0,1
canonical/charming-actions,1,179,66,113,37,75,59,40,7,8,2,11,0,27,1,0,0,0,0,0
canonical/chopsticks,0,19,0,19,4,6,10,2,2,3,6,3,0,1,0,0,0,0,0,0
canonical/chrony-client-operator,0,70,11,59,8,12,4,35,34,6,4,7,1,12,5,0,2,1,0,0
canonical/chrony-operator,0,154,2,152,1,20,12,103,80,8,5,11,6,26,2,2,0,0,0,0
canonical/cinder-csi-operator,0,21,0,21,3,3,5,3,0,2,0,0,0,10,0,0,1,1,0,0
canonical/cloud-init.io,1,285,63,222,17,14,24,143,1,8,1,9,4,95,0,0,0,0,0,0
canonical/cloudflare-configurator-operator,0,47,3,44,1,4,7,25,7,6,2,1,1,13,0,0,0,0,0,0
canonical/cloudflared-operator,0,61,1,60,0,15,11,27,6,7,1,5,0,19,0,0,0,1,0,0
